"ActionRequiredByDateTime","Attachments","AttachmentsArchive","Body","Category","Details","EndDateTime","HasAttachments","Id","IsMajorChange","LastModifiedDateTime","Services","Severity","StartDateTime","Tags","Title","ViewPoint","AdditionalProperties"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","5/3/2024 7:00:00 AM","False","MC722590","False","3/2/2024 12:50:04 AM","System.String[]","normal","3/2/2024 12:49:48 AM","System.String[]","Microsoft Outlook for Mac: New immersive image themes","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","8/31/2024 7:00:00 AM","False","MC722588","False","3/2/2024 12:48:47 AM","System.String[]","normal","3/2/2024 12:48:35 AM","System.String[]","Microsoft Teams: Voicemail recorded custom greetings | migration update","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","5/24/2024 7:00:00 AM","False","MC722587","False","3/2/2024 12:48:18 AM","System.String[]","normal","3/2/2024 12:48:09 AM","System.String[]","Microsoft Secure Score: Removing a recommendation from Microsoft Defender for Identity","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","7/12/2024 7:00:00 AM","False","MC722586","False","3/2/2024 12:47:51 AM","System.String[]","normal","3/2/2024 12:47:34 AM","System.String[]","Microsoft Purview Communication Compliance: Reduce detect-to-investigation time from 24 hours to 1 hour for Viva Engage","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","6/29/2024 7:00:00 AM","False","MC722584","False","3/2/2024 12:46:45 AM","System.String[]","normal","3/2/2024 12:46:30 AM","System.String[]","Microsoft Search: New Content source filters in All vertical","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","4/18/2024 7:00:00 AM","False","MC720776","False","3/2/2024 12:45:13 AM","System.String[]","normal","2/28/2024 11:43:14 PM","System.String[]","(Updated) Microsoft Edge for Business: Customize organizational branding using the Microsoft Edge management service","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","7/1/2024 7:00:00 AM","False","MC710415","False","3/2/2024 12:35:00 AM","System.String[]","normal","1/27/2024 12:08:23 AM","System.String[]","(Updated) Content Camera on New Teams","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","5/6/2024 7:00:00 AM","False","MC698125","False","3/2/2024 12:30:55 AM","System.String[]","normal","12/14/2023 4:14:01 AM","System.String[]","(Updated) Agenda View Refresh in Teams Mobile","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","5/6/2024 7:00:00 AM","False","MC703704","False","3/2/2024 12:29:08 AM","System.String[]","normal","1/4/2024 12:43:26 AM","System.String[]","(Updated) Microsoft Teams: User experience improvements for Multi-Tenant Organization (MTO) users","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","4/29/2024 7:00:00 AM","False","MC698129","False","3/2/2024 12:26:30 AM","System.String[]","normal","12/14/2023 4:15:52 AM","System.String[]","(Updated) Control your activity notifications from the activity card","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","6/30/2024 7:00:00 AM","False","MC710212","False","3/2/2024 12:23:49 AM","System.String[]","normal","1/26/2024 12:03:38 AM","System.String[]","(Updated) Microsoft Teams: In form meeting option updates for webinars and townhalls","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","4/29/2024 7:00:00 AM","False","MC704952","False","3/2/2024 12:21:58 AM","System.String[]","normal","1/8/2024 11:43:53 PM","System.String[]","(Updated) Microsoft Teams Connect chat - Extended Directory","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemBody","stayInformed","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValuePair[]","7/1/2024 7:00:00 AM","False","MC705761","False","3/2/2024 12:20:27 AM","System.String[]","normal","1/10/2024 10:59:31 PM","System.String[]","(Updated) Admins can select the domain to use for Teams Email Service","Microsoft.Graph.PowerShell.Models.MicrosoftGraphServiceUpdateMessageViewpoint","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
